column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n,column_o,column_p,column_q,column_r,column_s,column_t,column_u,column_v,column_w,column_x,column_y,column_z,column_aa,column_ab,column_ac,column_ad
Kenya,4,1,583,17,10,5,0,5,4,true,true,false,false,true,true,false,red,1,0,false,0,0,false,false,true,false,false,black,green
Kiribati,6,1,0,0,1,1,0,0,4,true,false,true,true,true,false,false,red,0,0,false,0,1,false,false,true,true,false,red,blue
Kuwait,5,1,18,2,8,2,0,3,4,true,true,false,false,true,true,false,green,0,0,false,0,0,false,false,false,false,false,green,red
Laos,5,1,236,3,10,6,0,3,3,true,false,true,false,true,false,false,red,1,0,false,0,0,false,false,false,false,false,red,red
Lebanon,5,1,10,3,8,2,0,2,4,true,true,false,false,true,false,true,red,0,0,false,0,0,false,false,false,true,false,red,red
Lesotho,4,2,30,1,10,5,2,0,4,true,true,true,false,true,false,false,blue,0,0,false,0,0,false,false,true,false,false,green,blue
Liberia,4,4,111,1,10,5,0,11,3,true,false,true,false,true,false,false,red,0,0,false,1,1,false,false,false,false,false,blue,red
Libya,4,1,1760,3,8,2,0,0,1,false,true,false,false,false,false,false,green,0,0,false,0,0,false,false,false,false,false,green,green
Liechtenstein,3,1,0,0,4,0,0,2,3,true,false,true,true,false,false,false,red,0,0,false,0,0,false,false,true,false,false,blue,red
Luxembourg,3,1,3,0,4,0,0,3,3,true,false,true,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,blue
Malagasy,4,2,587,9,10,1,1,2,3,true,true,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,white,green
Malawi,4,2,118,6,10,5,0,3,3,true,true,false,false,false,true,false,red,0,0,false,0,1,false,false,false,false,false,black,green
Malaysia,5,1,333,13,10,2,0,14,4,true,false,true,true,true,false,false,red,0,0,false,1,1,true,false,false,false,false,blue,white
Maldive-Islands,5,1,0,0,10,2,0,0,3,true,true,false,false,true,false,false,red,0,0,false,0,0,true,false,false,false,false,red,red
Mali,4,4,1240,7,3,2,3,0,3,true,true,false,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,green,red
Malta,3,1,0,0,10,0,2,0,3,true,false,false,false,true,true,false,red,0,1,false,0,0,false,false,true,false,false,white,red
Marianas,6,1,0,0,10,1,0,0,3,false,false,true,false,true,false,false,blue,0,0,false,0,1,false,false,true,false,false,blue,blue
Mauritania,4,4,1031,2,8,2,0,0,2,false,true,false,true,false,false,false,green,0,0,false,0,1,true,false,false,false,false,green,green
Mauritius,4,2,2,1,1,4,0,4,4,true,true,true,true,false,false,false,red,0,0,false,0,0,false,false,false,false,false,red,green
Mexico,1,4,1973,77,2,0,3,0,4,true,true,false,false,true,false,true,green,0,0,false,0,0,false,false,false,true,false,green,red
Micronesia,6,1,1,0,10,1,0,0,2,false,false,true,false,true,false,false,blue,0,0,false,0,4,false,false,false,false,false,blue,blue
Monaco,3,1,0,0,3,0,0,2,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,white
Mongolia,5,1,1566,2,10,6,3,0,3,true,false,true,true,false,false,false,red,2,0,false,0,1,true,true,true,false,false,red,red
Montserrat,1,4,0,0,1,1,0,0,7,true,true,true,true,true,true,false,blue,0,2,true,1,0,false,false,true,true,false,white,blue
Morocco,4,4,447,20,8,2,0,0,2,true,true,false,false,false,false,false,red,0,0,false,0,1,false,false,false,false,false,red,red
Mozambique,4,2,783,12,10,5,0,5,5,true,true,false,true,true,true,false,gold,0,0,false,0,1,false,true,true,false,false,green,gold
Nauru,6,2,0,0,10,1,0,3,3,false,false,true,true,true,false,false,blue,0,0,false,0,1,false,false,false,false,false,blue,blue
Nepal,5,1,140,16,10,4,0,0,3,false,false,true,false,true,false,true,brown,0,0,false,0,2,true,false,false,false,false,blue,blue
Netherlands,3,1,41,14,6,1,0,3,3,true,false,true,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,blue
Netherlands-Antilles,1,4,0,0,6,1,0,1,3,true,false,true,false,true,false,false,white,0,0,false,0,6,false,false,false,false,false,white,white
New-Zealand,6,2,268,2,1,1,0,0,3,true,false,true,false,true,false,false,blue,0,1,true,1,4,false,false,false,false,false,white,blue
Nicaragua,1,4,128,3,2,0,0,3,2,false,false,true,false,true,false,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Niger,4,1,1267,5,3,2,0,3,3,false,true,false,false,true,false,true,orange,1,0,false,0,0,false,false,false,false,false,orange,green
Nigeria,4,1,925,56,10,2,3,0,2,false,true,false,false,true,false,false,green,0,0,false,0,0,false,false,false,false,false,green,green
Niue,6,3,0,0,1,1,0,0,4,true,false,true,true,true,false,false,gold,1,1,true,1,5,false,false,false,false,false,white,gold
North-Korea,5,1,121,18,10,6,0,5,3,true,false,true,false,true,false,false,blue,1,0,false,0,1,false,false,false,false,false,blue,blue
North-Yemen,5,1,195,9,8,2,0,3,4,true,true,false,false,true,true,false,red,0,0,false,0,1,false,false,false,false,false,red,black
Norway,3,1,324,4,6,1,0,0,3,true,false,true,false,true,false,false,red,0,1,false,0,0,false,false,false,false,false,red,red
Oman,5,1,212,1,8,2,0,2,3,true,true,false,false,true,false,false,red,0,0,false,0,0,false,false,true,false,false,red,green
Pakistan,5,1,804,84,6,2,1,0,2,false,true,false,false,true,false,false,green,0,0,false,0,1,true,false,false,false,false,white,green
Panama,2,4,76,2,2,0,0,0,3,true,false,true,false,true,false,false,red,0,0,false,4,2,false,false,false,false,false,white,white
Papua-New-Guinea,6,2,463,3,1,5,0,0,4,true,false,false,true,true,true,false,black,0,0,false,0,5,false,true,false,true,false,red,black
Parguay,2,3,407,3,2,0,0,3,6,true,true,true,true,true,true,false,red,1,0,false,0,1,false,false,true,true,true,red,blue
Peru,2,3,1285,14,2,0,3,0,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,red
Philippines,6,1,300,48,10,0,0,0,4,true,false,true,true,true,false,false,blue,0,0,false,0,4,false,true,false,false,false,blue,red
Poland,3,1,313,36,5,6,0,2,2,true,false,false,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,white,red
Portugal,3,4,92,10,6,0,0,0,5,true,true,true,true,true,false,false,red,1,0,false,0,0,false,false,true,false,false,green,red
Puerto-Rico,1,4,9,3,2,0,0,5,3,true,false,true,false,true,false,false,red,0,0,false,0,1,false,true,false,false,false,red,red
Qatar,5,1,11,0,8,2,0,0,2,false,false,false,false,true,false,true,brown,0,0,false,0,0,false,false,false,false,false,white,brown
Romania,3,1,237,22,6,6,3,0,7,true,true,true,true,true,false,true,red,0,0,false,0,2,false,false,true,true,true,blue,red
Rwanda,4,2,26,5,10,5,3,0,4,true,true,false,true,false,true,false,red,0,0,false,0,0,false,false,false,false,true,red,green
San-Marino,3,1,0,0,6,0,0,2,2,false,false,true,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,white,blue
Sao-Tome,4,1,0,0,6,0,0,3,4,true,true,false,true,false,true,false,green,0,0,false,0,2,false,true,false,false,false,green,green
Saudi-Arabia,5,1,2150,9,8,2,0,0,2,false,true,false,false,true,false,false,green,0,0,false,0,0,false,false,true,false,true,green,green
Senegal,4,4,196,6,3,2,3,0,3,true,true,false,true,false,false,false,green,0,0,false,0,1,false,false,false,false,false,green,red
Seychelles,4,2,0,0,1,1,0,0,3,true,true,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,green
Sierra-Leone,4,4,72,3,1,5,0,3,3,false,true,true,false,true,false,false,green,0,0,false,0,0,false,false,false,false,false,green,blue
Singapore,5,1,1,3,7,3,0,2,2,true,false,false,false,true,false,false,white,0,0,false,0,5,true,false,false,false,false,red,white
Soloman-Islands,6,2,30,0,1,1,0,0,4,false,true,true,true,true,false,false,green,0,0,false,0,5,false,true,false,false,false,blue,green
Somalia,4,1,637,5,10,2,0,0,2,false,false,true,false,true,false,false,blue,0,0,false,0,1,false,false,false,false,false,blue,blue
South-Africa,4,2,1221,29,6,1,0,3,5,true,true,true,false,true,false,true,orange,0,1,true,0,0,false,false,false,false,false,orange,blue
South-Korea,5,1,99,39,10,7,0,0,4,true,false,true,false,true,true,false,white,1,0,false,0,0,false,false,true,false,false,white,white
South-Yemen,5,1,288,2,8,2,0,3,4,true,false,true,false,true,true,false,red,0,0,false,0,1,false,true,false,false,false,red,black
Spain,3,4,505,38,2,0,0,3,2,true,false,false,true,false,false,false,red,0,0,false,0,0,false,false,false,false,false,red,red
Sri-Lanka,5,1,66,15,10,3,2,0,4,false,true,false,true,false,false,true,gold,0,0,false,0,0,false,false,true,true,false,gold,gold
St-Helena,4,3,0,0,1,1,0,0,7,true,true,true,true,true,false,true,blue,0,1,true,1,0,false,false,true,false,false,white,blue
St-Kitts-Nevis,1,4,0,0,1,1,0,0,5,true,true,false,true,true,true,false,green,0,0,false,0,2,false,true,false,false,false,green,red
St-Lucia,1,4,0,0,1,1,0,0,4,false,false,true,true,true,true,false,blue,0,0,false,0,0,false,true,false,false,false,blue,blue
St-Vincent,1,4,0,0,1,1,5,0,4,false,true,true,true,true,false,false,green,0,0,false,0,0,false,false,true,true,true,blue,green
Sudan,4,1,2506,20,8,2,0,3,4,true,true,false,false,true,true,false,red,0,0,false,0,0,false,true,false,false,false,red,black
Surinam,2,4,63,0,6,1,0,5,4,true,true,false,true,true,false,false,red,0,0,false,0,1,false,false,false,false,false,green,green
Swaziland,4,2,17,1,10,1,0,5,7,true,false,true,true,true,true,true,blue,0,0,false,0,0,false,false,true,false,false,blue,blue
Sweden,3,1,450,8,6,1,0,0,2,false,false,true,true,false,false,false,blue,0,1,false,0,0,false,false,false,false,false,blue,blue
Switzerland,3,1,41,6,4,1,0,0,2,true,false,false,false,true,false,false,red,0,1,false,0,0,false,false,false,false,false,red,red
Syria,5,1,185,10,8,2,0,3,4,true,true,false,false,true,true,false,red,0,0,false,0,2,false,false,false,false,false,red,black
Taiwan,5,1,36,18,7,3,0,0,3,true,false,true,false,true,false,false,red,1,0,false,1,1,false,false,false,false,false,blue,red
Tanzania,4,2,945,18,10,5,0,0,4,false,true,true,true,false,true,false,green,0,0,false,0,0,false,true,false,false,false,green,blue
Thailand,5,1,514,49,10,3,0,5,3,true,false,true,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,red
Togo,4,1,57,2,3,7,0,5,4,true,true,false,true,true,false,false,green,0,0,false,1,1,false,false,false,false,false,red,green
Tonga,6,2,1,0,10,1,0,0,2,true,false,false,false,true,false,false,red,0,1,false,1,0,false,false,false,false,false,white,red
Trinidad-Tobago,2,4,5,1,1,1,0,0,3,true,false,false,false,true,true,false,red,0,0,false,0,0,false,true,false,false,false,white,white
Tunisia,4,1,164,7,8,2,0,0,2,true,false,false,false,true,false,false,red,1,0,false,0,1,true,false,false,false,false,red,red
Turkey,5,1,781,45,9,2,0,0,2,true,false,false,false,true,false,false,red,0,0,false,0,1,true,false,false,false,false,red,red
Turks-Cocos-Islands,1,4,0,0,1,1,0,0,6,true,true,true,true,true,false,true,blue,0,1,true,1,0,false,false,true,true,false,white,blue
Tuvalu,6,2,0,0,1,1,0,0,5,true,false,true,true,true,false,false,blue,0,1,true,1,9,false,false,false,false,false,white,blue
UAE,5,1,84,1,8,2,1,3,4,true,true,false,false,true,true,false,green,0,0,false,0,0,false,false,false,false,false,red,black
Uganda,4,1,236,13,10,5,0,6,5,true,false,false,true,true,true,false,gold,1,0,false,0,0,false,false,false,true,false,black,red
UK,3,4,245,56,1,1,0,0,3,true,false,true,false,true,false,false,red,0,1,true,0,0,false,false,false,false,false,white,red
Uruguay,2,3,178,3,2,0,0,9,3,false,false,true,true,true,false,false,white,0,0,false,1,1,false,false,false,false,false,white,white
US-Virgin-Isles,1,4,0,0,1,1,0,0,6,true,true,true,true,true,false,false,white,0,0,false,0,0,false,false,true,true,true,white,white
USA,1,4,9363,231,1,1,0,13,3,true,false,true,false,true,false,false,white,0,0,false,1,50,false,false,false,false,false,blue,red
USSR,5,1,22402,274,5,6,0,0,2,true,false,false,true,false,false,false,red,0,0,false,0,1,false,false,true,false,false,red,red
Vanuatu,6,2,15,0,6,1,0,0,4,true,true,false,true,false,true,false,red,0,0,false,0,0,false,true,false,true,false,black,green
Vatican-City,3,1,0,0,6,0,2,0,4,true,false,false,true,true,true,false,gold,0,0,false,0,0,false,false,true,false,false,gold,white
Venezuela,2,4,912,15,2,0,0,3,7,true,true,true,true,true,true,true,red,0,0,false,0,7,false,false,true,true,false,gold,red
Vietnam,5,1,333,60,10,6,0,0,2,true,false,false,true,false,false,false,red,0,0,false,0,1,false,false,false,false,false,red,red
Western-Samoa,6,3,3,0,1,1,0,0,3,true,false,true,false,true,false,false,red,0,0,false,1,5,false,false,false,false,false,blue,red
Yugoslavia,3,1,256,22,6,6,0,3,4,true,false,true,true,true,false,false,red,0,0,false,0,1,false,false,false,false,false,blue,red
Zaire,4,2,905,28,10,5,0,0,4,true,true,false,true,false,false,true,green,1,0,false,0,0,false,false,true,true,false,green,green
Zambia,4,2,753,6,10,5,3,0,4,true,true,false,false,false,true,true,green,0,0,false,0,0,false,false,false,true,false,green,brown
Zimbabwe,4,2,391,8,10,5,0,7,5,true,true,false,true,true,true,false,green,0,0,false,0,1,false,true,true,true,false,green,green
